entity,short_name
http://dbpedia.org/resource/Anarchism,Anarchism
http://dbpedia.org/resource/Alabama,Alabama
http://dbpedia.org/resource/Abraham_Lincoln,Abraham Lincoln
http://dbpedia.org/resource/Academy_Awards,Academy Awards
http://dbpedia.org/resource/Aristotle,Aristotle
http://dbpedia.org/resource/Academy_Award_for_Best_Production_Design,Academy Award for Best Production Design
http://dbpedia.org/resource/Ayn_Rand,Ayn Rand
http://dbpedia.org/resource/Algeria,Algeria
http://dbpedia.org/resource/Andorra,Andorra
http://dbpedia.org/resource/Alaska,Alaska
http://dbpedia.org/resource/Cultivation,Cultivation
http://dbpedia.org/resource/Aldous_Huxley,Aldous Huxley
http://dbpedia.org/resource/Asia,Asia
http://dbpedia.org/resource/Arthur_Schopenhauer,Arthur Schopenhauer
http://dbpedia.org/resource/Aruba,Aruba
http://dbpedia.org/resource/Angola,Angola
http://dbpedia.org/resource/Alberta,Alberta
http://dbpedia.org/resource/Afghanistan,Afghanistan
http://dbpedia.org/resource/Albania,Albania
http://dbpedia.org/resource/Albert_Einstein,Albert Einstein
http://dbpedia.org/resource/Art,Art
http://dbpedia.org/resource/Azerbaijan,Azerbaijan
http://dbpedia.org/resource/American_Revolutionary_War,American Revolutionary War
http://dbpedia.org/resource/Alexander_the_Great,Alexander the Great
http://dbpedia.org/resource/Ankara,Ankara
http://dbpedia.org/resource/Aegean_Sea,Aegean Sea
http://dbpedia.org/resource/Alfred_Hitchcock,Alfred Hitchcock
http://dbpedia.org/resource/Amsterdam,Amsterdam
http://dbpedia.org/resource/Andy_Warhol,Andy Warhol
http://dbpedia.org/resource/American_Civil_War,American Civil War
http://dbpedia.org/resource/Apple_Inc.,Apple Inc.
http://dbpedia.org/resource/Anglican_Communion,Anglican Communion
http://dbpedia.org/resource/Antigua_and_Barbuda,Antigua and Barbuda
http://dbpedia.org/resource/Albert_Camus,Albert Camus
http://dbpedia.org/resource/Alps,Alps
http://dbpedia.org/resource/Agatha_Christie,Agatha Christie
http://dbpedia.org/resource/Allen_Ginsberg,Allen Ginsberg
http://dbpedia.org/resource/Aarhus,Aarhus
http://dbpedia.org/resource/Adelaide,Adelaide
http://dbpedia.org/resource/Alan_Turing,Alan Turing
http://dbpedia.org/resource/Anguilla,Anguilla
http://dbpedia.org/resource/Athens,Athens
http://dbpedia.org/resource/Augustus,Augustus
"http://dbpedia.org/resource/Ames,_Iowa","Ames, Iowa"
http://dbpedia.org/resource/Andes,Andes
http://dbpedia.org/resource/AOL,AOL
http://dbpedia.org/resource/Australian_Labor_Party,Australian Labor Party
http://dbpedia.org/resource/Aachen,Aachen
http://dbpedia.org/resource/Andrew_Jackson,Andrew Jackson
http://dbpedia.org/resource/Aberdeen,Aberdeen
http://dbpedia.org/resource/Algiers,Algiers
http://dbpedia.org/resource/Arnold_Schwarzenegger,Arnold Schwarzenegger
http://dbpedia.org/resource/Adam_Smith,Adam Smith
http://dbpedia.org/resource/Amitabh_Bachchan,Amitabh Bachchan
http://dbpedia.org/resource/Art_Deco,Art Deco
http://dbpedia.org/resource/Arizona_State_University,Arizona State University
http://dbpedia.org/resource/American_English,American English
http://dbpedia.org/resource/Adobe_Systems,Adobe Systems
http://dbpedia.org/resource/Ally_McBeal,Ally McBeal
http://dbpedia.org/resource/Australian_Capital_Territory,Australian Capital Territory
http://dbpedia.org/resource/Arkansas,Arkansas
"http://dbpedia.org/resource/Austin,_Texas","Austin, Texas"
http://dbpedia.org/resource/Augustine_of_Hippo,Augustine of Hippo
"http://dbpedia.org/resource/Ann_Arbor,_Michigan","Ann Arbor, Michigan"
http://dbpedia.org/resource/Atlanta_Falcons,Atlanta Falcons
http://dbpedia.org/resource/Arizona_Cardinals,Arizona Cardinals
http://dbpedia.org/resource/Astrology,Astrology
http://dbpedia.org/resource/African_Americans,African Americans
http://dbpedia.org/resource/Dedication_(Aaliyah_album),Dedication (Aaliyah album)
http://dbpedia.org/resource/Afrikaans,Afrikaans
http://dbpedia.org/resource/Arabs,Arabs
http://dbpedia.org/resource/Analgesic,Analgesic
http://dbpedia.org/resource/Acadia_University,Acadia University
http://dbpedia.org/resource/AFC_Ajax,AFC Ajax
http://dbpedia.org/resource/Arthur_Miller,Arthur Miller
http://dbpedia.org/resource/Andhra_Pradesh,Andhra Pradesh
http://dbpedia.org/resource/American_Airlines,American Airlines
http://dbpedia.org/resource/Australian_rules_football,Australian rules football
http://dbpedia.org/resource/Anthony_Hopkins,Anthony Hopkins
http://dbpedia.org/resource/A_cappella,A cappella
http://dbpedia.org/resource/Anton_Chekhov,Anton Chekhov
http://dbpedia.org/resource/Aargau,Aargau
http://dbpedia.org/resource/African_National_Congress,African National Congress
http://dbpedia.org/resource/Asian_Development_Bank,Asian Development Bank
http://dbpedia.org/resource/Australian_Army,Australian Army
http://dbpedia.org/resource/Adam_Carolla,Adam Carolla
http://dbpedia.org/resource/Amy_Grant,Amy Grant
http://dbpedia.org/resource/Assassination,Assassination
http://dbpedia.org/resource/Ariel_Sharon,Ariel Sharon
http://dbpedia.org/resource/Alan_Jay_Lerner,Alan Jay Lerner
http://dbpedia.org/resource/Arthur_Laurents,Arthur Laurents
http://dbpedia.org/resource/Austria-Hungary,Austria-Hungary
http://dbpedia.org/resource/Albert_Brooks,Albert Brooks
"http://dbpedia.org/resource/Alameda,_California","Alameda, California"
http://dbpedia.org/resource/Australian_Broadcasting_Corporation,Australian Broadcasting Corporation
http://dbpedia.org/resource/Alexandria,Alexandria
http://dbpedia.org/resource/Akira_Toriyama,Akira Toriyama
http://dbpedia.org/resource/Afrobeat,Afrobeat
http://dbpedia.org/resource/Atlanta,Atlanta
"http://dbpedia.org/resource/Alexandria,_Louisiana","Alexandria, Louisiana"
http://dbpedia.org/resource/Bill_Clinton,Bill Clinton
http://dbpedia.org/resource/Blues,Blues
http://dbpedia.org/resource/Belgium,Belgium
http://dbpedia.org/resource/Brazil,Brazil
http://dbpedia.org/resource/Britney_Spears,Britney Spears
http://dbpedia.org/resource/Berlin-turkish.com,Berlin-turkish.com
http://dbpedia.org/resource/Bonn,Bonn
http://dbpedia.org/resource/The_Bronx,The Bronx
http://dbpedia.org/resource/Gautama_Buddha,Gautama Buddha
http://dbpedia.org/resource/Baruch_Spinoza,Baruch Spinoza
http://dbpedia.org/resource/British_Columbia,British Columbia
http://dbpedia.org/resource/Bulgaria,Bulgaria
http://dbpedia.org/resource/The_Bahamas,The Bahamas
http://dbpedia.org/resource/Bangladesh,Bangladesh
http://dbpedia.org/resource/Barbados,Barbados
http://dbpedia.org/resource/Benin,Benin
http://dbpedia.org/resource/Belize,Belize
http://dbpedia.org/resource/Belarus,Belarus
http://dbpedia.org/resource/Bolivia,Bolivia
http://dbpedia.org/resource/Brunei,Brunei
http://dbpedia.org/resource/Bermuda,Bermuda
http://dbpedia.org/resource/Bosnia_and_Herzegovina,Bosnia and Herzegovina
http://dbpedia.org/resource/Burkina_Faso,Burkina Faso
http://dbpedia.org/resource/British_Virgin_Islands,British Virgin Islands
http://dbpedia.org/resource/Bernard_Montgomery,Bernard Montgomery
http://dbpedia.org/resource/Blue_Velvet_(film),Blue Velvet (film)
http://dbpedia.org/resource/Basketball,Basketball
http://dbpedia.org/resource/Blazing_Saddles,Blazing Saddles
http://dbpedia.org/resource/Baseball,Baseball
http://dbpedia.org/resource/Bruce_Sterling,Bruce Sterling
http://dbpedia.org/resource/Brussels,Brussels
http://dbpedia.org/resource/Bhangra_(music),Bhangra (music)
http://dbpedia.org/resource/Blade_Runner,Blade Runner
http://dbpedia.org/resource/Beastie_Boys,Beastie Boys
http://dbpedia.org/resource/Brandenburg,Brandenburg
http://dbpedia.org/resource/Bavaria,Bavaria
http://dbpedia.org/resource/Benny_Andersson,Benny Andersson
http://dbpedia.org/resource/British_Isles,British Isles
http://dbpedia.org/resource/Baptists,Baptists
"http://dbpedia.org/resource/Abraham_""Bram""_Stoker","Abraham ""Bram"" Stoker"
"http://dbpedia.org/resource/Buffalo,_New_York","Buffalo, New York"
http://dbpedia.org/resource/Benjamin_Franklin,Benjamin Franklin
http://dbpedia.org/resource/Bing_Crosby,Bing Crosby
http://dbpedia.org/resource/National_Baseball_Hall_of_Fame_and_Museum,National Baseball Hall of Fame and Museum
http://dbpedia.org/resource/Blythe_Danner,Blythe Danner
http://dbpedia.org/resource/Bordeaux,Bordeaux
http://dbpedia.org/resource/Bulgarian_language,Bulgarian language
http://dbpedia.org/resource/Bali,Bali
http://dbpedia.org/resource/Brown_University,Brown University
http://dbpedia.org/resource/Bertrand_Russell,Bertrand Russell
http://dbpedia.org/resource/Brian_De_Palma,Brian De Palma
http://dbpedia.org/resource/Barry_Lyndon,Barry Lyndon
http://dbpedia.org/resource/Barnard_College,Barnard College
http://dbpedia.org/resource/Baltimore_Ravens,Baltimore Ravens
http://dbpedia.org/resource/Black_Sabbath,Black Sabbath
http://dbpedia.org/resource/Buffalo_Bills,Buffalo Bills
http://dbpedia.org/resource/Batman,Batman
http://dbpedia.org/resource/Boston_Red_Sox,Boston Red Sox
http://dbpedia.org/resource/Bohemia,Bohemia
http://dbpedia.org/resource/Burt_Lancaster,Burt Lancaster
http://dbpedia.org/resource/The_Beach_Boys,The Beach Boys
http://dbpedia.org/resource/Baghdad,Baghdad
http://dbpedia.org/resource/Liberal_Party_(UK),Liberal Party (UK)
http://dbpedia.org/resource/Barcelona,Barcelona
http://dbpedia.org/resource/Bristol_City_F.C.,Bristol City F.C.
http://dbpedia.org/resource/Billy_Bob_Thornton,Billy Bob Thornton
http://dbpedia.org/resource/Baku,Baku
http://dbpedia.org/resource/Braveheart,Braveheart
http://dbpedia.org/resource/Boeing_747,Boeing 747
http://dbpedia.org/resource/Billy_Crystal,Billy Crystal
http://dbpedia.org/resource/Boy_band,Boy band
http://dbpedia.org/resource/Bruce_Campbell,Bruce Campbell
"http://dbpedia.org/resource/Balochistan,_Pakistan","Balochistan, Pakistan"
http://dbpedia.org/resource/British_Empire,British Empire
http://dbpedia.org/resource/Batman_Forever,Batman Forever
http://dbpedia.org/resource/Batman_(1989_film),Batman (1989 film)
http://dbpedia.org/resource/Batman_Returns,Batman Returns
http://dbpedia.org/resource/Batman_&_Robin_(film),Batman & Robin (film)
http://dbpedia.org/resource/Bob_Jones_University,Bob Jones University
"http://dbpedia.org/resource/Berkeley,_California","Berkeley, California"
http://dbpedia.org/resource/Black_metal,Black metal
http://dbpedia.org/resource/Blizzard_Entertainment,Blizzard Entertainment
http://dbpedia.org/resource/Babylon_5,Babylon 5
http://dbpedia.org/resource/British_Army,British Army
http://dbpedia.org/resource/Basel,Basel
http://dbpedia.org/resource/Bronze_Star_Medal,Bronze Star Medal
http://dbpedia.org/resource/Ballarat,Ballarat
http://dbpedia.org/resource/Bo_Diddley,Bo Diddley
http://dbpedia.org/resource/Bela_Lugosi,Bela Lugosi
http://dbpedia.org/resource/Belfast,Belfast
http://dbpedia.org/resource/Charlize_Theron,Charlize Theron
http://dbpedia.org/resource/Chess,Chess
http://dbpedia.org/resource/Copenhagen,Copenhagen
http://dbpedia.org/resource/Charlie_Chaplin,Charlie Chaplin
http://dbpedia.org/resource/Christianity,Christianity
http://dbpedia.org/resource/Case_sensitivity,Case sensitivity
http://dbpedia.org/resource/Citizen_Kane,Citizen Kane
http://dbpedia.org/resource/Colombia,Colombia
http://dbpedia.org/resource/Country_music,Country music
http://dbpedia.org/resource/Computer_science,Computer science
"http://dbpedia.org/resource/Crouching_Tiger,_Hidden_Dragon","Crouching Tiger, Hidden Dragon"
http://dbpedia.org/resource/Czechoslovakia,Czechoslovakia
http://dbpedia.org/resource/Czech_Republic,Czech Republic
http://dbpedia.org/resource/Comoros,Comoros
http://dbpedia.org/resource/Video_game,Video game
http://dbpedia.org/resource/Colorado,Colorado
http://dbpedia.org/resource/China,China
http://dbpedia.org/resource/Capcom,Capcom
http://dbpedia.org/resource/Columbia_River,Columbia River
http://dbpedia.org/resource/California,California
http://dbpedia.org/resource/Cameroon,Cameroon
http://dbpedia.org/resource/Cayman_Islands,Cayman Islands
http://dbpedia.org/resource/Central_African_Republic,Central African Republic
http://dbpedia.org/resource/Chad,Chad
http://dbpedia.org/resource/Chile,Chile
http://dbpedia.org/resource/Costa_Rica,Costa Rica
http://dbpedia.org/resource/Croatia,Croatia
http://dbpedia.org/resource/Geography_of_Cyprus,Geography of Cyprus
http://dbpedia.org/resource/Christopher_Columbus,Christopher Columbus
http://dbpedia.org/resource/Cornwall,Cornwall
http://dbpedia.org/resource/Courtney_Love,Courtney Love
http://dbpedia.org/resource/529_plan,529 plan
http://dbpedia.org/resource/Charles_Baudelaire,Charles Baudelaire
http://dbpedia.org/resource/California_Institute_of_Technology,California Institute of Technology
http://dbpedia.org/resource/Chinese_language,Chinese language
http://dbpedia.org/resource/Chariots_of_Fire,Chariots of Fire
"http://dbpedia.org/resource/Cambridge,_Massachusetts","Cambridge, Massachusetts"
http://dbpedia.org/resource/Classical_guitar,Classical guitar
http://dbpedia.org/resource/Charles_Dickens,Charles Dickens
http://dbpedia.org/resource/Council_of_Europe,Council of Europe
http://dbpedia.org/resource/C._S._Lewis,C. S. Lewis
http://dbpedia.org/resource/County_Mayo,County Mayo
http://dbpedia.org/resource/Cardiff,Cardiff
http://dbpedia.org/resource/Capital_punishment,Capital punishment
http://dbpedia.org/resource/Cheers,Cheers
http://dbpedia.org/resource/The_Church_of_Jesus_Christ_of_Latter-day_Saints,The Church of Jesus Christ of Latter-day Saints
http://dbpedia.org/resource/Church_of_England,Church of England
"http://dbpedia.org/resource/Columbus,_Ohio","Columbus, Ohio"
http://dbpedia.org/resource/Cleveland,Cleveland
http://dbpedia.org/resource/Calvinism,Calvinism
http://dbpedia.org/resource/Cologne,Cologne
http://dbpedia.org/resource/Cecil_B._DeMille,Cecil B. DeMille
http://dbpedia.org/resource/Carl_Friedrich_Gauss,Carl Friedrich Gauss
http://dbpedia.org/resource/C_(programming_language),C (programming language)
http://dbpedia.org/resource/Christmas,Christmas
http://dbpedia.org/resource/Cambridgeshire,Cambridgeshire
"http://dbpedia.org/resource/Colorado_Springs,_Colorado","Colorado Springs, Colorado"
http://dbpedia.org/resource/Cairo,Cairo
http://dbpedia.org/resource/Czech_language,Czech language
http://dbpedia.org/resource/Columbia_University,Columbia University
http://dbpedia.org/resource/County_Dublin,County Dublin
http://dbpedia.org/resource/Cessna,Cessna
"http://dbpedia.org/resource/Concord,_New_Hampshire","Concord, New Hampshire"
http://dbpedia.org/resource/Connecticut,Connecticut
http://dbpedia.org/resource/Crete,Crete
http://dbpedia.org/resource/Cleveland_Browns,Cleveland Browns
http://dbpedia.org/resource/Cincinnati_Bengals,Cincinnati Bengals
http://dbpedia.org/resource/Chicago_Bears,Chicago Bears
http://dbpedia.org/resource/Carolina_Panthers,Carolina Panthers
http://dbpedia.org/resource/Cape_Town,Cape Town
http://dbpedia.org/resource/Conservatism,Conservatism
"http://dbpedia.org/resource/Columbia,_Missouri","Columbia, Missouri"
http://dbpedia.org/resource/Computer_animation,Computer animation
http://dbpedia.org/resource/Charlton_Athletic_F.C.,Charlton Athletic F.C.
http://dbpedia.org/resource/Chiapas,Chiapas
http://dbpedia.org/resource/Catalonia,Catalonia
http://dbpedia.org/resource/Carl_Sagan,Carl Sagan
http://dbpedia.org/resource/Coronation_Street,Coronation Street
http://dbpedia.org/resource/Chicago,Chicago
http://dbpedia.org/resource/City_of_London,City of London
http://dbpedia.org/resource/Chrysler,Chrysler
http://dbpedia.org/resource/Chiang_Kai-shek,Chiang Kai-shek
http://dbpedia.org/resource/Cook_Islands,Cook Islands
http://dbpedia.org/resource/Confederate_States_of_America,Confederate States of America
http://dbpedia.org/resource/Colin_Powell,Colin Powell
http://dbpedia.org/resource/Carol_Kane,Carol Kane
http://dbpedia.org/resource/Cary_Elwes,Cary Elwes
http://dbpedia.org/resource/Christopher_Guest,Christopher Guest
http://dbpedia.org/resource/Communist_Party_of_China,Communist Party of China
http://dbpedia.org/resource/Communist_Party_of_the_Soviet_Union,Communist Party of the Soviet Union
http://dbpedia.org/resource/Casablanca,Casablanca
"http://dbpedia.org/resource/Carson_City,_Nevada","Carson City, Nevada"
http://dbpedia.org/resource/Cheshire,Cheshire
http://dbpedia.org/resource/Clive_Barker,Clive Barker
http://dbpedia.org/resource/Calista_Flockhart,Calista Flockhart
http://dbpedia.org/resource/City_University_of_New_York,City University of New York
http://dbpedia.org/resource/Clarence_Brown,Clarence Brown
http://dbpedia.org/resource/Chuck_Jones,Chuck Jones
http://dbpedia.org/resource/Charles_Mingus,Charles Mingus
http://dbpedia.org/resource/Chet_Atkins,Chet Atkins
http://dbpedia.org/resource/Caribbean_Sea,Caribbean Sea
